name,author_last,author_first,id
"History of England, Foundation",Ackroyd,Peter,1
"Artist and the Mathematician, The",Aczel,Amir,2
"Prisoner of Birth, A",Archer,Jeffery,3
False Impressions,Archer,Jeffery,3
One,Bach,Richard,4
Mossad,Baz-Zohar,Michael,5
"Complete Mastermind, The",BBC,,6
Men of Mathematics,Bell,E T,7
Electric Universe,Bodanis,David,8
Learning OpenCV,Bradsky,Gary,9
To Sir With Love,Braithwaite,,10
Angels & Demons,Brown,Dan,11
Angels & Demons,Brown,Dan,11
"Outsider, The",Camus,Albert,12
"Tao of Physics, The",Capra,Fritjof,13
"Hidden Connections, The",Capra,Fritjof,13
Uncommon Wisdom,Capra,Fritjof,13
Machine Learning for Hackers,Conway,Drew,14
Jim Corbett Omnibus,Corbett,Jim,15
Introduction to Algorithms,Cormen,Thomas,16
Jurassic Park,Crichton,Michael,17
Beyond the Three Seas,Dalrymple,William,18
City of Djinns,Dalrymple,William,19
"Last Mughal, The",Dalrymple,William,20
Oxford book of Modern Science Writing,Dawkins,Richard,21
"Beautiful and the Damned, The",Deb,Siddhartha,22
Asami Asami,Deshpande,P L,23
Apulki,Deshpande,P L,24
Vyakti ani Valli,Deshpande,P L,25
Gun Gayin Awadi,Deshpande,P L,26
Aghal Paghal,Deshpande,P L,27
Ahe Manohar Tari,Deshpande,Sunita,28
Radiowaril Bhashane & Shrutika,Deshpande,P L,29
Char Shabda,Deshpande,P L,30
Batatyachi Chal,Deshpande,P L,31
Hafasavnuk,Deshpande,P L,32
Urlasurla,Deshpande,P L,33
"Numbers Behind Numb3rs, The",Devlin,Keith,34
"Christmas Carol, A",Dickens,Charles,35
"Ropemaker, The",Dickinson,Peter,36
Crime and Punishment,Dostoevsky,Fyodor,37
"Idiot, The",Dostoevsky,Fyodor,38
Think Complexity,Downey,Allen,39
"Complete Sherlock Holmes, The - Vol I",Doyle,Arthur Conan,40
"Complete Sherlock Holmes, The - Vol II",Doyle,Arthur Conan,41
New Markets & Other Essays,Drucker,Peter,42
"Age of Discontuinity, The",Drucker,Peter,43
Superfreakonomics,Dubner,Stephen,44
Freakonomics,Dubner,Stephen,45
Pattern Classification,Duda,Hart,46
"Story of Philosophy, The",Durant,Will,47
Rosy is My Relative,Durrell,Gerald,48
Dylan on Dylan,Dylan,Bob,49
Image Processing with MATLAB,Eddins,Steve,50
"Age of Wrath, The",Eraly,Abraham,51
Surely You're Joking Mr Feynman,Feynman,Richard,52
"Great War for Civilization, The",Fisk,Robert,53
"Age of the Warrior, The",Fisk,Robert,54
"Pillars of the Earth, The",Follett,Ken,55
Data Smart,Foreman,John,56
"Veteran, The",Forsyth,Frederick,57
"Deceiver, The",Forsyth,Frederick,58
"Phantom of Manhattan, The",Forsyth,Frederick,59
"Computer Vision, A Modern Approach",Forsyth,David,60
Design with OpAmps,Franco,Sergio,61
From Beirut to Jerusalem,Friedman,Thomas,62
"Case of the Lame Canary, The",Gardner,Earle Stanley,63
Maqta-e-Ghalib,Garg,Sanjay,64
Sea of Poppies,Ghosh,Amitav,65
"Information, The",Gleick,James,66
Doctor in the Nude,Gordon,Richard,67
Doctor on the Brain,Gordon,Richard,68
Fundamentals of Wavelets,Goswami,Jaideva,69
Econometric Analysis,Greene,W. H.,70
"Brethren, The",Grisham,John,71
Soft Computing & Intelligent Systems,Gupta,Madan,72
"Raisin in the Sun, A",Hansberry,Lorraine,73
Free Will,Harris,Sam,74
God Created the Integers,Hawking,Stephen,75
"Theory of Everything, The",Hawking,Stephen,76
Neural Networks,Haykin,Simon,77
Physics & Philosophy,Heisenberg,Werner,78
Catch 22,Heller,Joseph,79
"Farewell to Arms, A",Hemingway,Ernest,80
Mein Kampf,Hitler,Adolf,81
"Hunchback of Notre Dame, The",Hugo,Victor,82
Clash of Civilizations and Remaking of the World Order,Huntington,Samuel,83
Eyeless in Gaza,Huxley,Aldous,84
Talking Straight,Iacoca,Lee,85
Data Analysis with Open Source Tools,Janert,Phillip,86
"Trial, The",Kafka,Frank,87
Manasa,Kale,V P,88
Let Us C,Kanetkar,Yashwant,89
Pointers in C,Kanetkar,Yashwant,90
"Arthashastra, The",Kautiyla,,91
How to Think Like Sherlock Holmes,Konnikova,Maria,92
Freedom at Midnight,Lapierre,Dominique,93
"City of Joy, The",Lapierre,Dominique,94
O Jerusalem!,Lapierre,Dominique,95
Girl with the Dragon Tattoo,Larsson,Steig,96
Girl who kicked the Hornet's Nest,Larsson,Steig,97
Girl who played with Fire,Larsson,Steig,98
"Prince, The",Machiavelli,,99
Ashenden of The British Agent,Maugham,William S,100
"Maugham's Collected Short Stories, Vol 3",Maugham,William S,101
"Moon and Sixpence, The",Maugham,William S,102
"Trembling of a Leaf, The",Maugham,William S,103
Python for Data Analysis,McKinney,Wes,104
Integration of the Indian States,Menon,V P,105
"Drunkard's Walk, The",Mlodinow,Leonard,106
Power Electronics - Mohan,Mohan,Ned,107
In a Free State,Naipaul,V. S.,108
Half A Life,Naipaul,V S,109
India's Legal System,Nariman,,110
Scoop!,Nayar,Kuldip,110
"Discovery of India, The",Nehru,Jawaharlal,111
Data Mining Handbook,Nisbet,Robert,112
Making Software,Oram,Andy,113
Down and Out in Paris & London,Orwell,George,114
Animal Farm,Orwell,George,115
We the People,Palkhivala,,116
We the Nation,Palkhivala,,117
"Last Lecture, The",Pausch,Randy,118
Zen & The Art of Motorcycle Maintenance,Pirsig,Robert,119
Tales of Mystery and Imagination,Poe,Edgar Allen,120
Statistical Decision Theory',Pratt,John,121
Philosophy: Who Needs It,Rand,Ayn,122
We the Living,Rand,Ayn,123
Return of the Primitive,Rand,Ayn,124
Ayn Rand Answers,Rand,Ayn,125
"Justice, Judiciary and Democracy",Ranjan,Sudhanshu,126
Power Electronics - Rashid,Rashid,Muhammad,127
"Cathedral and the Bazaar, The",Raymond,Eric,128
Tales of Beedle the Bard,Rowling,J K,129
Unpopular Essays,Russell,Bertrand,130
On Education,Russell,Bertrand,131
History of Western Philosophy,Russell,Bertrand,132
Empire of the Mughal - The Tainted Throne,Rutherford,Alex,133
Empire of the Mughal - Brothers at War,Rutherford,Alex,134
Empire of the Mughal - Ruler of the World,Rutherford,Alex,135
Empire of the Mughal - The Serpent's Tooth,Rutherford,Alex,136
Empire of the Mughal - Raiders from the North,Rutherford,Alex,137
Broca's Brain,Sagan,Carl,138
Orientalism,Said,Edward,139
More Tears to Cry,Sassoon,Jean,140
Data Scientists at Work,Sebastian Gutierrez,,141
"Argumentative Indian, The",Sen,Amartya,142
"Idea of Justice, The",Sen,Amartya,143
Rationality & Freedom,Sen,Amartya,144
Identity & Violence,Sen,Amartya,145
Image Processing & Mathematical Morphology,Shih,Frank,146
"Signal and the Noise, The",Silver,Nate,147
"Code Book, The",Singh,Simon,148
Simpsons & Their Mathematical Secrets,Singh,Simon,149
"Wealth of Nations, The",Smith,Adam,150
"Courtroom Genius, The",Sorabjee,,151
Burning Bright,Steinbeck,John,152
"Russian Journal, A",Steinbeck,John,153
Journal of a Novel,Steinbeck,John,154
